"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSTGUG00000003938",35.9672193892581,-0.199023138743022,0.141874527653548,-1.40281093466636,0.160673225424464,0.756460696400775
"ENSTGUG00000011987",823.688272804925,0.0030940188078581,0.0757558484645065,0.0408419794718255,0.967421872483288,0.997964321589336
"ENSTGUG00000017592",7.23379951438315,0.120193040902037,0.250828516272296,0.479184116257168,0.631807653002693,0.973711868625949
"ENSTGUG00000009442",244.108617142519,-0.0891106029250179,0.0770742240683495,-1.15616607240826,0.247613234405514,0.841540405996473
"ENSTGUG00000009764",92.5823724716701,-0.0229442865647856,0.1677672087099,-0.136762641169411,0.891218414136935,0.995313434598142
"ENSTGUG00000015152",50.008360276,-0.257827700398034,0.133675568000312,-1.92875709641595,0.0537610243534306,0.534986411137512
"ENSTGUG00000002407",385.633902013344,0.139564976080464,0.180094986744196,0.774952032833092,0.438368004043688,0.933915748256493
"ENSTGUG00000016201",0.193753172910064,-0.696946631255001,1.20714792796266,-0.577349813648157,0.563703169321107,0.96047503451419
"ENSTGUG00000004296",5148.86201181571,-0.0894146530743937,0.0832053672282447,-1.07462602537545,0.282542195124527,0.865500771655303
"ENSTGUG00000003903",253.156592457426,-0.00937014652275758,0.077614876448081,-0.120726166832534,0.903907932446241,0.996862811179669
"ENSTGUG00000013480",1545.62410416574,0.0876856753474325,0.048398428379304,1.81174633730314,0.0700254002334073,0.578860839937185
"ENSTGUG00000008626",392.969442471933,-0.0238762962814305,0.102310418270125,-0.233371113960175,0.815473241678023,0.99430017000904
"ENSTGUG00000014195",0.207519617169581,-0.312040225663354,1.42927566523499,-0.21832053343751,0.827179376940992,0.99430017000904
"ENSTGUG00000013178",56.9332950001424,0.0158568874340821,0.0903728231627038,0.175460795393478,0.860717573598689,0.99430017000904
"ENSTGUG00000000082",618.694536513838,0.0083928727789855,0.0360498113900917,0.232813223019865,0.815906444552862,0.99430017000904
"ENSTGUG00000013526",17.5474054094837,-0.231136579741576,0.199560686236983,-1.15822702406974,0.24677140287774,0.840713041264765
"ENSTGUG00000001170",172.550103132817,0.0623734776700861,0.153873154778053,0.405356462341036,0.685215508839202,0.9797717209865
"ENSTGUG00000002439",184.422093705636,0.136409839392601,0.171494800307208,0.795416765687604,0.426371110546232,0.929890782889785
"ENSTGUG00000000429",283.587397373456,-0.0528631890595548,0.0996243757202266,-0.530625047107042,0.595678635279258,0.964610263542042
"ENSTGUG00000008399",284.565383808875,0.00327708664423851,0.0637228750607161,0.0514271623983704,0.958985140941607,0.997964321589336
"ENSTGUG00000006494",1.41224862407799,0.417088732194801,0.432412135996472,0.96456296545341,0.334763756494074,0.893085247721953
"ENSTGUG00000011456",431.185109872629,-0.0568763333759215,0.0558585166263818,-1.01822133509824,0.308572782529599,0.88185573732068
"ENSTGUG00000012724",550.094482933586,-0.0293747577364152,0.0568237292622927,-0.516945264201584,0.605194368784794,0.965314083595408
"ENSTGUG00000001792",668.248437994776,-0.012367844660313,0.0506606897141629,-0.24413099644112,0.807129367001221,0.99430017000904
"ENSTGUG00000013981",0.154894370106524,-0.795937599840937,1.82316078944065,-0.436570161255569,0.662423106324555,0.97738485726072
"ENSTGUG00000003712",232.085262926863,-0.138289249652153,0.0951540618223057,-1.45331945903055,0.146135076957498,0.736850841078662
"ENSTGUG00000016003",25.2594929113974,0.244893393374062,0.263707895791351,0.928654004231354,0.35306842488694,0.900784708605975
"ENSTGUG00000001841",627.131011328338,0.00986952000234928,0.0392319328158721,0.251568538533904,0.801374579249405,0.99430017000904
"ENSTGUG00000016859",151.371224088422,-0.131146832072366,0.0586077056261326,-2.23770629938955,0.0252402141961396,0.414722147395338
"ENSTGUG00000009831",1690.15635413636,-0.0332076765344434,0.0656024528589408,-0.506195654083955,0.61271930557857,0.967658878940627
"ENSTGUG00000002975",1873.22545218762,-0.02485254735817,0.0419487274498854,-0.592450566894084,0.553548913537679,0.957107178813252
"ENSTGUG00000005187",98.0504472369969,-0.16961007766025,0.0833859180781465,-2.03403741985904,0.0419478227402252,0.493207362625071
"ENSTGUG00000011992",55.3212140076641,-0.136821463405235,0.124715786414932,-1.09706611599294,0.272612491032326,0.856139537600578
"ENSTGUG00000012303",17.575064019727,0.0374698959643538,0.139693570553326,0.26822920923229,0.788522892792633,0.99430017000904
"ENSTGUG00000005172",0.31942845521249,0.816595676343282,0.894702520798884,0.912700766299552,0.361399940796649,0.903951504904625
"ENSTGUG00000009791",168.095691687715,-0.156587949606105,0.0929070943669695,-1.68542510852407,0.0919065827158125,0.634563430430251
"ENSTGUG00000016495",68.2443165328134,-0.0156672423412481,0.153125455908281,-0.102316380044821,0.918505554143841,0.997386295375021
"ENSTGUG00000013068",22.6150782024531,-0.100306435780223,0.191260455671236,-0.524449423840351,0.599965988357285,0.964610263542042
"ENSTGUG00000004797",2693.79845681612,-0.000499593335406998,0.0641250468457735,-0.00779092351555805,0.993783805298208,0.999209091005179
"ENSTGUG00000009542",341.798375126208,-0.0415799201089392,0.074556597018552,-0.55769605603905,0.577051951294714,0.962398762719808
"ENSTGUG00000003134",1397.11425138698,-0.0112775687574018,0.0424077614042412,-0.265931715892788,0.790291798538246,0.99430017000904
"ENSTGUG00000003945",5059.21316426786,0.0516895392293468,0.0443647999983393,1.16510249637735,0.243977506511548,0.840210301401783
"ENSTGUG00000017534",125.658441614695,-0.0602520937867057,0.177721801598161,-0.339024774928509,0.734591066543808,0.988744944242157
