"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSTGUG00000003938",39.2354264734716,-0.447466747442254,0.180419057342944,-2.48015234106727,0.0131326260777286,0.155798125185766
"ENSTGUG00000011987",811.592048857891,-0.0759699085880646,0.103010089420556,-0.737499685859943,0.460818534172987,0.787934070747637
"ENSTGUG00000017592",6.25263122872702,-0.0853699536799936,0.343501829347818,-0.248528381470571,0.803725613527818,0.938572384418359
"ENSTGUG00000009442",242.033132646991,-0.0152043797337496,0.121947252045231,-0.124679970058778,0.90077691522656,0.969200341200096
"ENSTGUG00000009764",87.5602305725266,-0.493371010051308,0.215401060115222,-2.2904762390092,0.0219937244463462,0.203584848208439
"ENSTGUG00000015152",45.9245930912437,0.633720429357218,0.198950858307618,3.18531136154919,0.00144598340278425,0.0419309594180834
"ENSTGUG00000002407",381.469030618493,-0.0697698109779533,0.260407781914736,-0.267925215079777,0.788756884204675,0.932829051239883
"ENSTGUG00000004296",5086.83198081486,0.147376862714127,0.106406910078752,1.38503094023736,0.166043006798682,0.531026473431505
"ENSTGUG00000003903",241.017760282085,-0.0014701704712193,0.101368756951938,-0.0145031912733857,0.988428533264001,0.997066744706278
"ENSTGUG00000013480",1536.16541766049,-0.0245113749553997,0.0424919433152966,-0.576847586694768,0.564042420000514,0.8405439673971
"ENSTGUG00000008626",377.738128196054,0.0906744770808539,0.14820109814977,0.611834043154115,0.540647563567733,0.830507482296148
"ENSTGUG00000013178",56.7123078216489,0.00177443374015382,0.106802394176028,0.0166141756825156,0.986744415560263,0.996473256208256
"ENSTGUG00000000082",631.854477511018,0.0204785053760359,0.0526786330338934,0.388744054213784,0.69746549002601,0.898151462006401
"ENSTGUG00000013526",22.8636499851359,0.22666897959958,0.299863028548483,0.755908391563956,0.449704122353789,0.780167911581177
"ENSTGUG00000001170",176.223553298231,-0.313847100648353,0.213877315103856,-1.46741649761197,0.142262789310543,0.498551321486925
"ENSTGUG00000002439",237.122075721248,-0.874245575181146,0.254936748962574,-3.42926462637793,0.000605219122608025,0.0238937592886985
"ENSTGUG00000000429",287.259979619472,0.144933085821029,0.135325398841427,1.07099692342943,0.284170812990694,0.654647722165289
"ENSTGUG00000008399",278.185126169529,0.103975427496102,0.0772338316714287,1.34624199325548,0.178224486249098,0.546528065277937
"ENSTGUG00000006494",1.38758174708337,-0.304089239989554,0.611140613828039,-0.497576552938957,0.61878253341739,0.864069975923508
"ENSTGUG00000011456",415.277033107643,0.040603218431421,0.0859666149124641,0.472313798475902,0.63670282274521,0.871890044910356
"ENSTGUG00000012724",543.890505345033,-0.031922181986577,0.082512974324927,-0.38687469755812,0.698848973817934,0.89833015097287
"ENSTGUG00000001792",676.046832302144,-0.132991450070466,0.0659438552606683,-2.01673756477789,0.0437229075625837,0.28885327318765
"ENSTGUG00000003712",220.498158288386,-0.14510301648348,0.127554542382891,-1.13757623815475,0.255297473419347,0.628384607697527
"ENSTGUG00000016003",29.2901729477593,0.0695446697662864,0.343634223830439,0.202379928841436,0.83961971821469,0.951336754026936
"ENSTGUG00000001841",626.679582575612,0.0362457305066384,0.062672752545555,0.57833315172,0.563039216422956,0.84005108364127
"ENSTGUG00000016859",151.155545807435,-0.0331888900661528,0.0863617146923807,-0.384300962346235,0.700755394811093,0.898823775095401
"ENSTGUG00000009831",1698.6776670246,0.051301284878687,0.0920439774812624,0.557356236470012,0.577284059981528,0.845726825714884
"ENSTGUG00000002975",1822.4149470172,0.161111737967099,0.0595701365249305,2.70457224652612,0.00683923956237674,0.106392386906923
"ENSTGUG00000005187",92.9759959915703,-0.132156696919895,0.104693490414629,-1.26232009646922,0.206833628149925,0.580898946076704
"ENSTGUG00000011992",55.456249294058,0.384853259476907,0.173458139802501,2.21870971241303,0.0265064798442135,0.22431930049979
"ENSTGUG00000012303",17.849879687559,0.164062590380554,0.193405664226129,0.848282241562134,0.396280805093262,0.745686864116007
"ENSTGUG00000009791",185.942193028089,-0.251659488738338,0.124591494801122,-2.01987695179391,0.0433961525617609,0.288564590602122
"ENSTGUG00000016495",69.9424178922766,0.106541674898195,0.200736689602135,0.53075337203858,0.595589695571145,0.852881707663929
"ENSTGUG00000013068",23.0320305606578,-0.487822020192454,0.286414938911409,-1.70320033601091,0.0885305838267278,0.406982347198964
"ENSTGUG00000004797",2674.81730249537,-0.0488035866335389,0.090186060906876,-0.541143344578851,0.588408784377495,0.849564440965698
"ENSTGUG00000009542",352.493031001634,0.0616000148613877,0.0979661151940619,0.62878899239154,0.5294872074074,0.825424990416274
"ENSTGUG00000003134",1377.0255740133,0.0371694539145209,0.0426862736987526,0.870758927725452,0.383885795589652,0.737600200234471
"ENSTGUG00000003945",5124.27852714457,-0.112020670779054,0.0557575188913092,-2.0090684271196,0.0445298774458399,0.290641874671534
"ENSTGUG00000017534",219.469502029051,-0.142943384376976,0.259486463381351,-0.55087029401954,0.581722592519429,0.846719536415626
"ENSTGUG00000013705",46.8329709564817,0.707719464188364,0.182586048419757,3.87608730411509,0.000106149610604231,0.00775971235457195
"ENSTGUG00000000500",149.031911947924,0.156941119084282,0.127917975550941,1.22688870276706,0.219864425228779,0.593452840683414
"ENSTGUG00000010463",984.645949424174,0.0500025753347123,0.0592905083048843,0.843348737669586,0.399033432570543,0.747258402015749
"ENSTGUG00000012454",178.698513061393,0.00322877450470234,0.0758731997113513,0.042554874672292,0.966056367673305,0.990975928372115
"ENSTGUG00000013046",1300.53979238683,-0.0906573987559799,0.109935617129598,-0.824640831816211,0.409575532572956,0.753350276467904
"ENSTGUG00000010039",350.54957793324,0.0488370846838128,0.0746598565575348,0.654127759355896,0.513029498517997,0.816688057614906
"ENSTGUG00000013833",3.85828793394125,0.468592740365318,0.653452914246524,0.717102533555363,0.473310832592685,0.795274810911554
"ENSTGUG00000001873",639.977532642297,-0.227933545809761,0.0924492168427858,-2.46550001821403,0.0136822168232572,0.159054829292581
"ENSTGUG00000006638",13.9932355065748,0.308227316309103,0.532775612466337,0.578531203562884,0.562905536864222,0.840025896346061
"ENSTGUG00000008621",2.45551450742872,-1.02231866729475,0.534637530470741,-1.91217153497363,0.0558541958706462,0.32381993812621
"ENSTGUG00000007438",423.54398575811,0.0522757108752151,0.0466524724925081,1.1205346272614,0.2624860051427,0.636746505797347
"ENSTGUG00000010591",39.313321938253,-0.055331503715163,0.11829064058862,-0.467758932066227,0.639956992200878,0.872809070192223
"ENSTGUG00000015709",164.03836693173,-0.113076065076329,0.081436153190701,-1.38852414616806,0.164977497330249,0.529733794028326
"ENSTGUG00000010640",243.355926111714,-0.381969708940955,0.11136002871366,-3.4300431973048,0.000603485165684323,0.0238828525472752
"ENSTGUG00000000516",511.454052991624,-0.0407213014844671,0.167114659170537,-0.243672827306621,0.807484219771933,0.940419495077008
"ENSTGUG00000006544",72.6350365201657,0.625366085446133,0.189555076107173,3.29912602864065,0.000969863582346479,0.0324099331657884
"ENSTGUG00000009996",5.36074719693714,0.566002419400592,0.394430720011627,1.43498564053,0.151291189525157,0.509926938732807
"ENSTGUG00000006313",1.16700730148959,-0.0918029630744572,0.805380791176273,-0.113987028347643,0.909248076297829,0.971825982260005
"ENSTGUG00000009227",1.78969629059263,0.141344116115515,0.519240827609202,0.272213024477142,0.785458227768599,0.931048155387117
"ENSTGUG00000004765",10.8716846841794,-0.829706775970012,0.376611487088772,-2.2030840917352,0.0275888222248572,0.22826605026795
"ENSTGUG00000007052",880.499026430271,-0.0989713156229979,0.12173502146046,-0.813006104863126,0.416214558010902,0.757779677569799
"ENSTGUG00000015041",112.031986428114,-0.272876575534988,0.184529216388776,-1.47877165944322,0.13920135272415,0.494856108439111
"ENSTGUG00000005163",11.19684808827,-0.391216303253554,0.278481169230258,-1.40482139002398,0.160074396818545,0.522754418472204
"ENSTGUG00000016252",124.434670248832,-0.189900835177646,0.139262789686817,-1.36361504465555,0.17268875457292,0.54046367917722
"ENSTGUG00000008244",35.8434562929001,-0.308053491291156,0.223180164057552,-1.38029063914353,0.167497175978236,0.532757748677397
"ENSTGUG00000012839",7.72643742277702,-0.316613661867154,0.36126521108286,-0.876402299900766,0.380811368477546,0.735062848861466
"ENSTGUG00000009241",24.9620519494819,0.883434385194287,0.515861972785324,1.71254023711868,0.0867971560522015,0.403916662459815
"ENSTGUG00000006633",1767.57822117306,0.0345014489421559,0.02872594556343,1.20105529219127,0.229729753859359,0.603671577743662
"ENSTGUG00000002833",5805.46974408274,0.0488624115863748,0.0688250246214282,0.709951240194135,0.477734373661951,0.797691875124476
"ENSTGUG00000016257",11.4567202479879,0.0186274859375119,0.243058213407868,0.0766379612371038,0.938911559043952,0.983242400338361
"ENSTGUG00000003672",1964.41806920692,0.059756675663101,0.035018477616995,1.70643271008732,0.0879275447834192,0.405858732423561
"ENSTGUG00000015775",40.6818292149531,-0.442129667893164,0.179472515611392,-2.46349512841564,0.0137589765205452,0.15965090036304
"ENSTGUG00000003739",1889.55312891685,0.0114286216158918,0.039784554720234,0.28726277562381,0.773911122745693,0.925800221602324
"ENSTGUG00000016214",87.3804454570369,-0.326769599111172,0.174833865356401,-1.86902919777612,0.0616187523072137,0.340694068979236
"ENSTGUG00000009641",119.004870227163,0.117084545742753,0.122428013819373,0.956354204320397,0.338893313331057,0.702582105138981
"ENSTGUG00000004387",20.8359974886461,-0.0556538488636061,0.313365321985943,-0.177600535090806,0.859036704282801,0.957417435917239
"ENSTGUG00000012427",331.532306093164,-0.0575236754947744,0.0661580395498884,-0.869488816266948,0.384579822539873,0.737600200234471
"ENSTGUG00000005894",624.4582212577,0.0136338829074314,0.0860472397280192,0.158446487656382,0.874104984550265,0.961257919767403
"ENSTGUG00000012435",1229.4628224978,0.079438427481322,0.0572074186813725,1.38860359918998,0.164953322312848,0.529733794028326
"ENSTGUG00000010167",617.446354920637,0.0848119309032106,0.0596180094452919,1.42258910843103,0.154855303180675,0.514911684162141
"ENSTGUG00000012412",966.969647335187,-0.0213769848574787,0.0894668443112278,-0.238937508325595,0.811154040329426,0.941570874990405
"ENSTGUG00000010347",2267.63607283722,0.0339366044095408,0.0431026248246622,0.787344263779571,0.431080364659351,0.767446507630353
"ENSTGUG00000010166",17.4417217507384,0.297743404826074,0.203719259636525,1.4615378308232,0.143867901433994,0.500452589616677
"ENSTGUG00000014575",4.34002109618472,-0.268143165560448,0.356630318627372,-0.751879892299956,0.452123291328695,0.782216262421261
"ENSTGUG00000012693",35.1850817822189,0.100589834357466,0.236733394800151,0.424907666459072,0.670903985710868,0.886315989508697
"ENSTGUG00000008500",272.87305165847,0.075370793032362,0.100314444777157,0.7513453640679,0.452444834694159,0.782276928200623
"ENSTGUG00000012907",477.084192185837,0.276237529441248,0.134591144122792,2.05241980251857,0.040128881657699,0.278079526600905
"ENSTGUG00000012405",474.91163934204,-0.0825430748460298,0.0635467711648513,-1.29893420756027,0.193966508976403,0.566614165970879
"ENSTGUG00000013518",109.212334393203,-0.333086162075471,0.192284431262407,-1.73225757222598,0.0832277125063421,0.395365176883085
"ENSTGUG00000010753",156.279168821871,-0.104442666635532,0.137471037870944,-0.759743057541925,0.447408185891519,0.779251536195691
"ENSTGUG00000014777",276.363581696523,-0.547362512029203,0.152382081987011,-3.59203985725736,0.000328099652438564,0.0162968435663645
