"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSTGUG00000003938",35.9672193892581,0.0200420129075945,0.143070603016064,0.140084772728218,0.888593011558011,0.989242915891847
"ENSTGUG00000011987",823.688272804925,0.011417031707554,0.0757922615848084,0.150635849476253,0.880262980264124,0.987961887093034
"ENSTGUG00000017592",7.23379951438315,0.0158724059635138,0.249557895927855,0.0636020988416348,0.949287060494154,0.996165008109289
"ENSTGUG00000009442",244.108617142519,0.0208196944462844,0.0772521147989796,0.269503229788079,0.78754245712326,0.981089411476212
"ENSTGUG00000009764",92.5823724716701,0.00257157257728756,0.167925512711749,0.0153137693954925,0.987781857382734,0.99870030636322
"ENSTGUG00000015152",50.008360276,0.268906561017339,0.13382504293759,2.00938893883071,0.0444959023586639,0.585839869308348
"ENSTGUG00000002407",385.633902013344,-0.0590288762896146,0.18013572056606,-0.327691121472864,0.74314521710407,0.973579481709292
"ENSTGUG00000016201",0.193753172910064,0.256093772995002,1.20749245279969,0.212087265971082,0.832038954015697,NA
"ENSTGUG00000004296",5148.86201181571,0.0475138062892649,0.0832337053986651,0.570848144530964,0.568102584326871,0.943231063633447
"ENSTGUG00000003903",253.156592457426,0.024158863373294,0.0776799149259764,0.311005275898097,0.755796610809005,0.976860657761877
"ENSTGUG00000013480",1545.62410416574,-0.0666568105558474,0.0484231485157928,-1.37654846078643,0.168651894759557,0.792475391775878
"ENSTGUG00000008626",392.969442471933,0.13422715092547,0.102304314276019,1.31203802963111,0.189507303383099,0.808264882000878
"ENSTGUG00000014195",0.207519617169581,-0.0205245876420048,1.42967217338353,-0.014356149629345,0.988545843307956,NA
"ENSTGUG00000013178",56.9332950001424,0.123372379857984,0.0900108628953794,1.37063878613608,0.170487585793256,0.794616734374753
"ENSTGUG00000000082",618.694536513838,-0.0702820299159416,0.0361892687064668,-1.94206825470841,0.0521288379637712,0.610100473946359
"ENSTGUG00000013526",17.5474054094837,0.254647309680482,0.200077782901309,1.27274156074635,0.203109764503699,0.818151769443513
"ENSTGUG00000001170",172.550103132817,-0.0511607433710217,0.153961432203683,-0.332295839540766,0.739665881155189,0.973519982731598
"ENSTGUG00000002439",184.422093705636,-0.0061226729193412,0.171500087662013,-0.0357006984824845,0.971521013600026,0.996186959098523
"ENSTGUG00000000429",283.587397373456,-0.00642272172995646,0.099748774508079,-0.0643889788283691,0.948660505438048,0.996165008109289
"ENSTGUG00000008399",284.565383808875,-0.0190643574634262,0.0638321149801165,-0.298664041906878,0.765196395831991,0.977609393441343
"ENSTGUG00000006494",1.41224862407799,0.0862045755859837,0.411893759729895,0.209288374853053,0.834223126357971,0.986839059400475
"ENSTGUG00000011456",431.185109872629,0.063338388580071,0.0559187087394096,1.1326868951005,0.257345762905185,0.844946626170362
"ENSTGUG00000012724",550.094482933586,-0.0304612675464986,0.0569281068547036,-0.535083093914298,0.592592399793865,0.950016697476299
"ENSTGUG00000001792",668.248437994776,-0.0474352008887978,0.0507575322210999,-0.934545057907268,0.350022804904444,0.887160960271148
"ENSTGUG00000013981",0.154894370106524,0.282815925072737,1.82375061865765,0.155073792534694,0.876763142754096,NA
"ENSTGUG00000003712",232.085262926863,0.218267306564822,0.0951474759396066,2.29398945594063,0.0217911044018662,0.456723759606461
"ENSTGUG00000016003",25.2594929113974,0.49751589789658,0.261173639586232,1.90492386094086,0.0567899690774606,0.620474018238511
"ENSTGUG00000001841",627.131011328338,-0.0116490100564279,0.0392986832644956,-0.296422401178825,0.766907519957377,0.977781167903122
"ENSTGUG00000016859",151.371224088422,-0.0518192400289858,0.0592551038791126,-0.874510997984295,0.381840033510487,0.895810415597843
"ENSTGUG00000009831",1690.15635413636,0.129578508016014,0.065612405661218,1.97490865805284,0.0482785146858843,0.601034121936612
"ENSTGUG00000002975",1873.22545218762,0.0297003399979775,0.0419747954683957,0.707575574021318,0.479208865831493,0.920116512455814
"ENSTGUG00000005187",98.0504472369969,-0.0269829666386533,0.0841146800247139,-0.320787841441297,0.748371173980614,0.975203665918755
"ENSTGUG00000011992",55.3212140076641,0.191479834477575,0.124754691746256,1.53485076831447,0.124820488935455,0.758804734808739
"ENSTGUG00000012303",17.575064019727,-0.0495824722610327,0.14040131330586,-0.35314820847166,0.723977333073167,0.970820146575446
"ENSTGUG00000005172",0.31942845521249,-0.766073369402839,0.894885306397125,-0.856057601936842,0.39196591878008,NA
"ENSTGUG00000009791",168.095691687715,0.0295324882944611,0.0932352189361294,0.316752495799814,0.751431412273702,0.975857185369595
"ENSTGUG00000016495",68.2443165328134,0.373232474113466,0.152463734251719,2.44800821615227,0.014364837988319,0.395013549393296
"ENSTGUG00000013068",22.6150782024531,-0.206095133916859,0.193357008927656,-1.06587878587825,0.286478439914022,0.860587518220696
"ENSTGUG00000004797",2693.79845681612,-0.0663912782749458,0.0641598693393898,-1.03477888840067,0.300772184418967,0.868439384005001
"ENSTGUG00000009542",341.798375126208,0.188092584257992,0.0744966832111975,2.52484508236093,0.0115749301783245,0.365065744127119
"ENSTGUG00000003134",1397.11425138698,0.032843144799761,0.0424328221267809,0.774003310494696,0.438928833563361,0.911202175945199
"ENSTGUG00000003945",5059.21316426786,0.0045328255018406,0.0443772477176007,0.102143006494808,0.918643165259731,0.99238343906041
"ENSTGUG00000017534",125.658441614695,-0.000730439784343393,0.17819977527016,-0.0040989938580787,0.996729485244211,0.999742850849456
"ENSTGUG00000013705",60.7785697703108,0.165652107700841,0.171221325497589,0.96747357386375,0.333307345610582,0.880320031639927
"ENSTGUG00000000500",148.213584107522,-0.0102247488488453,0.0842874656419669,-0.121308058926312,0.90344703706094,0.99038062461381
"ENSTGUG00000010463",1012.92350640076,0.0071988957638818,0.042283618237052,0.170252595781257,0.864811489988726,0.986848774072573
"ENSTGUG00000012454",186.584832978232,-0.0777046146711417,0.071726184151935,-1.08335073989915,0.278652771603798,0.856474584957394
"ENSTGUG00000013046",1348.89817921745,-0.128445866850607,0.0790059086244727,-1.62577545258204,0.103997432157551,0.722059982823186
"ENSTGUG00000010039",347.694212267185,0.0248296637474548,0.045462422735793,0.546157953168347,0.584957366016569,0.947984872004516
"ENSTGUG00000013833",3.55219400806621,0.716832263721125,0.486231789588806,1.47426038171493,0.140411497851021,0.773554363039135
"ENSTGUG00000001873",647.344585974289,-0.029033129631093,0.0810652959657967,-0.358144990222977,0.72023481172231,0.970510086111738
"ENSTGUG00000006638",15.5890925129147,0.237312870166328,0.392938910861221,0.603943421246319,0.545881258990845,0.937580579018273
"ENSTGUG00000008621",2.45997634705243,0.144135586095991,0.374082324771988,0.385304454531086,0.700011861602806,0.96807171593101
"ENSTGUG00000007438",428.071188110459,-0.00947172747414748,0.0450460956859838,-0.210267445600056,0.833458941952974,0.986839059400475
"ENSTGUG00000010591",40.7102122407904,0.0594144033579404,0.0893573412150934,0.664907914112206,0.506109393509672,0.925085603161423
"ENSTGUG00000015709",169.293934962162,0.0735541885401567,0.0556373247183665,1.32202957120035,0.186158304101947,0.806026726173128
"ENSTGUG00000010640",235.004247852726,-0.293003937164192,0.0810715801914186,-3.61413872126803,0.000301347693051324,0.0752544033331587
"ENSTGUG00000000516",533.150113869815,-0.00474648369394914,0.12927876280998,-0.0367151076540371,0.970712162598963,0.996186959098523
"ENSTGUG00000006544",75.9286434676811,0.136391830173485,0.142853748647294,0.954765495935541,0.339696299872249,0.883193339761909
"ENSTGUG00000009996",6.16954971188055,0.0785214818269763,0.237638179753727,0.330424521465157,0.7410792156024,0.973579481709292
"ENSTGUG00000006313",1.13687978990637,0.749581871769748,0.583648023129373,1.28430465291509,0.199035379436358,0.813724102303247
"ENSTGUG00000009227",1.60064839110052,-0.0862176053384654,0.367320923016788,-0.234720104235731,0.814425982682275,0.984380121179489
"ENSTGUG00000004765",10.013571270315,-0.0796156817389491,0.261670795785778,-0.304258950640132,0.760930616147655,0.977609393441343
"ENSTGUG00000007052",883.496372226241,0.0506162097153576,0.0751061716059343,0.673928768210018,0.500356601307576,0.923335556139034
"ENSTGUG00000015041",114.561441929909,-0.0290270890275928,0.146246472872747,-0.198480609189462,0.842669054582483,0.986839059400475
"ENSTGUG00000005163",10.3357826296689,-0.0226602419319074,0.218840895320213,-0.10354665154678,0.9175291258715,0.992342488041803
"ENSTGUG00000016252",126.8713802598,0.156211872189888,0.107436258041372,1.45399583937234,0.145947459715315,0.773554363039135
"ENSTGUG00000008244",35.6455632146653,0.247967833625212,0.174442342946677,1.42148878211874,0.155174712489574,0.781916858518454
"ENSTGUG00000012839",6.04303715546503,-0.0909512478598756,0.294626125261464,-0.308700553215237,0.757549322963919,0.977082386520854
"ENSTGUG00000009241",25.695802060981,-1.00460638527516,0.358955551432527,-2.79869298932961,0.00513098972152894,0.264302266784212
"ENSTGUG00000006633",1720.41170032582,-0.000903273143592074,0.0230161090513286,-0.0392452582483717,0.968694850546331,0.996186959098523
"ENSTGUG00000002833",5831.97591971605,-0.0150423313073918,0.0537260215166707,-0.279982229890674,0.779491138373822,0.979821666541046
"ENSTGUG00000016257",11.2466004700106,0.169392591020763,0.204979475744301,0.826388058637,0.408583995147687,0.902767937506773
"ENSTGUG00000003672",1973.59704599805,0.0155192098077139,0.031310764672153,0.495650935715291,0.620140709219577,0.954727421361668
"ENSTGUG00000015775",42.3747309275253,-0.00994393298186262,0.22244255587807,-0.044703374957233,0.964343743562526,0.996165008109289
"ENSTGUG00000003739",1852.27132439702,-0.00545951419091813,0.0352942547205476,-0.154685634649191,0.877069155561898,0.987258553513708
