"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSTGUG00000003938",38.6676738118009,-0.264453500619539,0.16805502057274,-1.57361261638164,0.115577034714267,0.44390534506315
"ENSTGUG00000011987",831.996237587112,-0.10098176910974,0.112838323669959,-0.894924400021229,0.37082750236963,0.72534665389722
"ENSTGUG00000017592",6.7540420695798,0.967076531347264,0.430943080409431,2.24409342047786,0.0248263912135368,0.18950724180729
"ENSTGUG00000009442",254.753988481119,-0.0300939796578711,0.0975775472826376,-0.308410904925726,0.757769685199434,0.932978302922933
"ENSTGUG00000009764",91.8607353100299,0.733136863915486,0.23710315025973,3.09205872259557,0.00198773523360941,0.034626260588106
"ENSTGUG00000015152",57.7096552348195,0.24988506762589,0.144395142843695,1.73056421916065,0.0835295180593441,0.376891068846578
"ENSTGUG00000002407",363.373437974023,-0.115067128920239,0.248201832692334,-0.463603059139672,0.642932162217514,0.888119146548671
"ENSTGUG00000004296",5524.31228130217,0.0653888535114864,0.11400581110038,0.57355719748279,0.566267483176371,0.847995656101669
"ENSTGUG00000003903",259.920500932585,0.195480160182724,0.0869247721596842,2.24884294000356,0.0245224903480555,0.188159114840047
"ENSTGUG00000013480",1524.08370575303,-0.0448866204448938,0.0474508415383769,-0.945960471714518,0.344168747948956,0.702136101489257
"ENSTGUG00000008626",390.67675600975,0.21611957736992,0.15720579463406,1.3747557962033,0.169207166581681,0.529267843379796
"ENSTGUG00000013178",55.877048897865,0.0150183969100334,0.154838111759326,0.096994187925628,0.922731010050919,0.980976567211786
"ENSTGUG00000000082",638.997831916568,-0.140133479180819,0.0523909625513041,-2.6747643554667,0.00747817926081215,0.0896647803143567
"ENSTGUG00000013526",18.7846002925306,-0.958985364070549,0.308320390009392,-3.11035336988688,0.00186863646396904,0.0328759994496967
"ENSTGUG00000001170",161.104364844273,0.438727872078698,0.266318986111397,1.64737737434606,0.0994805029574644,0.410859293771054
"ENSTGUG00000002439",155.806242000921,-0.467928831252094,0.19795300786225,-2.36383794469904,0.0180867222853165,0.157248520898568
"ENSTGUG00000000429",301.672125236275,-0.169886936985797,0.128840810925221,-1.31858015923541,0.187309510367063,0.551889130415715
"ENSTGUG00000008399",290.867289289692,-0.0358088865612598,0.0734059993989128,-0.487819617667246,0.625677614591787,0.878540514102553
"ENSTGUG00000006494",1.05468372216309,-0.469554890980426,0.69503911882989,-0.675580522389775,0.49930701139106,0.811197114743171
"ENSTGUG00000011456",443.53400805744,0.199333928035819,0.0812473147810168,2.45342173551308,0.0141504328268596,0.135125207542938
"ENSTGUG00000012724",566.199659609097,-0.0162685756564736,0.0881102300522835,-0.184638896605082,0.853512275364483,0.962776875796332
"ENSTGUG00000001792",694.567498689814,-0.19263922984444,0.0774621498410911,-2.48688204806641,0.0128868117571416,0.127638889267898
"ENSTGUG00000003712",228.671052938834,0.450581697222834,0.140095985765324,3.21623560276457,0.0012988415367563,0.0247122101729908
"ENSTGUG00000016003",19.564163699327,-0.895477540801075,0.246791604657704,-3.6284765117642,0.000285098682766805,0.00772928800873076
"ENSTGUG00000001841",640.021204195618,-0.00702556324647332,0.0606459488792644,-0.115845549064786,0.907774950573267,0.975912049713352
"ENSTGUG00000016859",166.335253489383,0.0124201442157133,0.0723854864141373,0.17158334952195,0.863765098463122,0.96488990764936
"ENSTGUG00000009831",1720.91209286262,-0.119583819226158,0.105183292742476,-1.13690887695387,0.255576380802127,0.627273592121642
"ENSTGUG00000002975",1943.23449667924,0.06591114392331,0.0602038199620411,1.09480003037793,0.273604253135564,0.643928038842498
"ENSTGUG00000005187",109.276513143326,0.292085426027994,0.140083865290607,2.08507543264927,0.0370624538955533,0.237519647050688
"ENSTGUG00000011992",58.6922553613886,-0.0832716617430767,0.195064027661133,-0.426893993431412,0.669456540693758,0.899390216966556
"ENSTGUG00000012303",18.083665154758,0.426034374046296,0.251387663461307,1.69473063308005,0.0901265317390806,0.393114059521614
"ENSTGUG00000009791",179.743946912569,-0.527361467023894,0.127397440510731,-4.1394981320639,3.4806643473548e-05,0.00145258153910418
"ENSTGUG00000016495",60.2901836369605,0.183676831309792,0.269446081481872,0.681683067349226,0.495439376641368,0.808946081880927
"ENSTGUG00000013068",25.23029032157,-0.110161281921021,0.290978412482561,-0.378589191483829,0.704992949682174,0.912954631429072
"ENSTGUG00000004797",2800.39504574663,-0.0216344906033697,0.0976269251531103,-0.22160372837145,0.824622379836412,0.954517981903894
"ENSTGUG00000009542",336.562223625543,-0.129911723564529,0.107167631847621,-1.2122291154968,0.225424689217307,0.594114472062932
"ENSTGUG00000003134",1412.09403608353,0.103539096331029,0.05802770744479,1.78430444507118,0.0743742083495789,0.353555669673776
"ENSTGUG00000003945",4914.43494520647,-0.00947324744307195,0.0628959205575395,-0.150617835927936,0.880277190870071,0.968508303587732
"ENSTGUG00000017534",147.197303883684,-3.06120209892326,0.261170873470322,-11.7210700345233,9.94083680289542e-32,1.31608395239666e-28
"ENSTGUG00000013705",79.4269615819432,1.34366576135621,0.246483260120475,5.45134692189427,4.99897415458114e-08,4.55979258390197e-06
"ENSTGUG00000000500",151.494366332382,-0.0970532622622893,0.106576243861947,-0.910646301140122,0.362481766254066,0.717779860460968
"ENSTGUG00000010463",1026.12668930662,0.0886669131241643,0.0677882907867944,1.30799747412185,0.190874166015347,0.555744632756716
"ENSTGUG00000012454",178.057212014461,0.0944514998957347,0.0909246302589771,1.03878893570105,0.298902908224294,0.666293040965252
"ENSTGUG00000013046",1220.64574580916,-0.031304250871601,0.139387283037419,-0.224584698040188,0.822302370009689,0.953849134955018
"ENSTGUG00000010039",359.848073797341,-0.0848870240947341,0.0592773177215549,-1.43203213906332,0.152134623687137,0.503953871250532
"ENSTGUG00000013833",4.9415663563583,-0.155834081391988,0.725728584777467,-0.214727771043733,0.829979569416627,0.955601959115523
"ENSTGUG00000001873",626.529820042132,-0.0757467725761379,0.114443539647739,-0.66187023583235,0.508054388496469,0.815729013739562
"ENSTGUG00000006638",13.6793138685197,0.779483831747467,0.597570389005592,1.30442178208428,0.192089812427333,0.556713281290743
"ENSTGUG00000008621",2.31193997915315,-0.239822211348925,0.556785722646144,-0.430726223023753,0.666667449331146,0.898583636856535
"ENSTGUG00000007438",441.432972292039,0.0134739996715405,0.0571621566836379,0.235715383275546,0.813653532085183,0.95103838024112
"ENSTGUG00000010591",39.8403707469615,0.043163848898982,0.153912342086639,0.280444364069807,0.779136604401445,0.940869305907313
"ENSTGUG00000015709",169.667904271265,0.193732667541168,0.0774591179837848,2.50109570808338,0.0123809714202914,0.124843555875798
"ENSTGUG00000010640",241.24607926198,0.137876115523704,0.161067810833621,0.856012848315955,0.391990672675049,0.74377183792384
"ENSTGUG00000000516",570.368346569317,0.216869524776319,0.209557512062723,1.03489262991158,0.300719056926197,0.667748939635716
"ENSTGUG00000006544",85.4514420629302,0.0299321394102,0.169232044107528,0.176870400449583,0.859610189051371,0.963841681082082
"ENSTGUG00000009996",5.31729552750831,0.600440745367339,0.381312076599005,1.57467015134371,0.11533260100621,0.44365351868902
"ENSTGUG00000006313",1.24612962061263,-0.282176141297027,1.06691719708851,-0.264478013914343,0.791411604191906,0.944483874714477
"ENSTGUG00000009227",1.28341181684187,0.343095574398182,0.606506849320374,0.565691178562354,0.571603733006952,0.850770838507565
"ENSTGUG00000004765",7.2220148033743,0.258477853251389,0.434441106222719,0.594966382207118,0.551865942794433,0.839346923736208
"ENSTGUG00000007052",884.079181232131,0.107451211588595,0.0900188441585599,1.19365242458934,0.232613957840275,0.602566109279055
"ENSTGUG00000015041",130.237710550057,0.244087044475565,0.189930797069551,1.2851367352825,0.198744506516459,0.56443360377166
"ENSTGUG00000005163",10.5941105434167,-0.297118227243988,0.312934824683455,-0.949457215394719,0.342388122412166,0.70131556601381
"ENSTGUG00000016252",127.357032572273,0.299542139995396,0.130194733513718,2.30072393799119,0.0214072401357511,0.174319233232536
"ENSTGUG00000008244",36.0533148284679,-0.150519351157918,0.22755118094213,-0.661474708831318,0.50830792871638,0.81578826785707
"ENSTGUG00000012839",8.21185545175512,-0.992696518926358,0.432230949629633,-2.29668079015853,0.0216369860827314,0.175291584852807
"ENSTGUG00000009241",31.5100606177347,-0.247786180091869,0.48331260007167,-0.512683054518182,0.608173045100631,0.868732707023352
"ENSTGUG00000006633",1761.03611552358,-0.0923485365994023,0.0310013888036773,-2.97885159868865,0.00289330870315231,0.0456918443011737
"ENSTGUG00000002833",5845.38530663836,0.0625470324438554,0.0757798568270737,0.825378076216018,0.409156977786802,0.757504425357743
"ENSTGUG00000016257",9.37490817715385,-0.104341590245183,0.349910370651922,-0.298195192245325,0.765554191007363,0.935241034002025
"ENSTGUG00000003672",2011.09621683442,0.00860662206361027,0.0415596032398723,0.207091054597775,0.83593874806854,0.95681260018479
"ENSTGUG00000015775",48.7941353327368,1.06599336830903,0.262422470433496,4.06212686950212,4.86276354188334e-05,0.00186155962385303
"ENSTGUG00000003739",1882.74076530149,-0.102316310449969,0.046184392030074,-2.21538718932021,0.0267334998789886,0.197299870876344
"ENSTGUG00000016214",106.982651396253,0.464039371620062,0.155466184224661,2.98482511765701,0.00283740493103472,0.0449878763865755
"ENSTGUG00000009641",111.779621728115,-0.0999732983012186,0.133264028808149,-0.750189673802698,0.453140477115577,0.78729688975669
"ENSTGUG00000004387",21.8541451706832,0.587440375261937,0.311333606968867,1.8868517953498,0.0591802622669284,0.309478876443282
"ENSTGUG00000012427",325.210710120226,-0.148266331939901,0.060539635497647,-2.44907870226051,0.0143222149683958,0.136249477472673
"ENSTGUG00000005894",607.634007729531,-0.246230324280962,0.0818570633907208,-3.00805225696472,0.00262927922410637,0.0426673738849622
"ENSTGUG00000012435",1217.92802963275,-0.106091371880321,0.059435518625208,-1.78498268938003,0.0742641247670097,0.353555669673776
"ENSTGUG00000010167",640.848116551159,0.0640742980845777,0.0655649144462288,0.977265030020384,0.328437960908198,0.69189326468709
"ENSTGUG00000012412",938.166863708257,-0.139833462277099,0.106223002023188,-1.31641414395889,0.18803507771621,0.55223679978496
"ENSTGUG00000010347",2316.52956070291,0.036438962279984,0.0497796676637375,0.732004932739403,0.46416555702331,0.793521812593278
"ENSTGUG00000010166",16.9698616781589,-0.69320366320087,0.230760558880333,-3.0039954252336,0.00266459331563219,0.042933462480171
"ENSTGUG00000014575",4.30898087914538,-0.0355273132626618,0.447995202096756,-0.0793028878353674,0.936791709377611,0.984777586268949
"ENSTGUG00000012693",32.4537657748561,-0.136389966591847,0.210992816598673,-0.64641995301325,0.518007421841194,0.820088082789342
"ENSTGUG00000008500",285.05808228615,0.22977959167074,0.137562012493171,1.67037096583729,0.094845990397589,0.403000334165952
"ENSTGUG00000012907",504.839028031827,0.320227163882595,0.191832303343848,1.6693078188641,0.0950563914672701,0.403570610480527
"ENSTGUG00000012405",453.718935316873,0.0103910509651526,0.061305667231117,0.169495764983346,0.865406703222492,0.96488990764936
"ENSTGUG00000013518",92.0174060650572,-1.25992545057317,0.232897963417216,-5.40977444408187,6.31041767592547e-08,5.56964475652378e-06
"ENSTGUG00000010753",163.967337641675,0.103789001194481,0.154591956332667,0.671373877765912,0.501982381698375,0.813194055067002
"ENSTGUG00000014777",220.822801025693,0.0412173628513976,0.161042122828475,0.255941502306809,0.797996007419015,0.946384187060756
"ENSTGUG00000009262",102.642954075307,0.102467115316555,0.279839806628758,0.366163472420099,0.714243097044891,0.916351456250681
"ENSTGUG00000009919",120.218392747479,-0.0875602171952538,0.110761806070364,-0.790527170888037,0.429219960658014,0.770937087330693
"ENSTGUG00000006360",252.060092765331,-0.250777589560798,0.109374839921282,-2.292827031713,0.0218579650888274,0.176362362298731
"ENSTGUG00000011026",91.0830161282108,0.305033650445073,0.0977813928659297,3.11954699666951,0.00181129363725778,0.0321519799051556
"ENSTGUG00000004195",550.843338148143,-0.00232532896844766,0.0611282963054214,-0.0380401403112789,0.969655677834692,0.994899465962363
"ENSTGUG00000015092",49.3036909156788,-0.0776316616494317,0.141618664012035,-0.548173944380906,0.583572471144226,0.855859746153088
"ENSTGUG00000003802",15.899489226064,-0.151478983424652,0.437218911521567,-0.346460272949973,0.728996835161263,0.923465039244699
"ENSTGUG00000000829",273.342738221961,-0.0907883775232169,0.151539333149291,-0.599107674796056,0.549101084069988,0.838159965662942
"ENSTGUG00000009583",9.25589739363173,0.385642020695856,0.315325509487763,1.22299658318897,0.221330986826667,0.59007977642478
"ENSTGUG00000012896",305.20050769137,0.0739004780009866,0.12408135847579,0.595580826231893,0.551455288741607,0.839346923736208
"ENSTGUG00000010859",240.144576038052,0.125081571552664,0.113145092356688,1.10549710064619,0.268944250031222,0.638863232692288
"ENSTGUG00000006798",2554.31955586957,-0.0353995543150806,0.0826031235262971,-0.42854982722065,0.668250864917602,0.898862085720351
"ENSTGUG00000006668",1234.61125256647,-0.0840030538953358,0.0514811781527231,-1.63172361063948,0.102737723881742,0.417440976805433
"ENSTGUG00000011744",593.323382153246,0.0451228956636979,0.047375478395646,0.952452559673673,0.340867514512769,0.699545571003122
"ENSTGUG00000002879",244.817803699184,-0.0818323375119459,0.172218200782711,-0.475166603413738,0.634668228940593,0.884070098773619
"ENSTGUG00000000726",3227.88946238463,-0.000608257886151887,0.102994699713857,-0.00590572027339045,0.995287944364269,0.999693945650111
"ENSTGUG00000010002",401.530165094423,-0.0413733764134906,0.0851632290056541,-0.485812678741241,0.627099984140393,0.878980204848575
"ENSTGUG00000000850",1074.5758517914,-0.0819789445851943,0.064719706236666,-1.26667671026526,0.205270910922844,0.570927689396221
"ENSTGUG00000002070",73.5571637025859,0.235567160743788,0.151296213206112,1.55699310479683,0.119472122494341,0.451539487334664
"ENSTGUG00000010203",343.951506434479,-0.19995390802102,0.0668951281301794,-2.9890653267291,0.00279832294841638,0.0446354986761958
